,zipcode,density,density_bins
79065,20002,3852.6,1
79066,nan,10861.237371490948,2
79067,70119,3128.9,1
79068,80212,1951.5,0
79069,11209,12527.1,2
79070,11238,17188.6,3
79071,90028,7273.3,2
79072,78702,1648.1,0
79073,90029,10949.3,2
79074,94114,8428.9,2
79075,10009,38399.1,3
79076,10036,21721.3,3
79077,90272,388.7,0
79078,10010,32205.4,3
79079,37212,2804.7,0
79080,90034,7191.9,2
79081,20017,3091.4,1
79082,90045,1420.4,0
79083,10012,28771.0,3
79084,90027,2143.2,0
79085,97266,2128.4,0
79086,98125,2653.4,0
79087,70112,1618.2,0
79088,11211,15047.6,3
79089,10002,35781.9,3
79090,91766,2718.6,0
79091,11216,22433.5,3
79092,60608,5068.9,1
79093,02113,26621.1,3
79094,11226,30415.4,3
79095,94114,8428.9,2
79096,70118,2720.8,0
79097,10022,28833.9,3
79098,90029,10949.3,2
79099,90018,6574.4,1
79100,90045,1420.4,0
79101,80249,189.3,0
79102,90033,5772.8,1
79103,70119,3128.9,1
79104,70130,2577.6,0
79105,90048,4381.0,1
79106,90265,64.9,0
79107,37206,1284.5,0
79108,90640,2844.3,0
79109,90277,3804.3,1
79110,90291,4379.7,1
79111,10005,37900.9,3
79112,97211,1662.3,0
79113,94110,11517.2,2
79114,94110,11517.2,2
79115,37206,1284.5,0
79116,11221,22020.5,3
79117,98133,2424.7,0
79118,60614,8244.5,2
79119,11217,18472.1,3
79120,11415,13194.6,2
79121,10029,36151.2,3
79122,90292,4091.9,1
79123,11217,18472.1,3
79124,80212,1951.5,0
79125,78745,1607.4,0
79126,80206,3373.5,1
79127,78703,1366.4,0
79128,20268,10861.237371490948,2
79129,60626,11355.1,2
79130,11222,9292.3,2
79131,70119,3128.9,1
79132,90026,6203.7,1
79133,10011,29744.0,3
79134,90034,7191.9,2
79135,78741,2285.4,0
79136,91361,235.7,0
79137,94609,4655.0,1
79138,11226,30415.4,3
79139,11385,10527.6,2
79140,10075,54746.3,3
79141,90046,3242.8,1
79142,10026,39504.2,3
79143,97214,3275.8,1
79144,90745,2663.4,0
79145,10065,32772.8,3
79146,10065,32772.8,3
79147,02135,6270.6,1
79148,11215,11270.5,2
79149,10034,13778.0,2
79150,11225,24824.2,3
79151,37215,523.9,0
79152,11208,10195.4,2
79153,78734,339.1,0
79154,20002,3852.6,1
79155,92107,3525.3,1
79156,90064,2445.3,0
79157,11693,4665.8,1
79158,80202,3498.7,1
79159,11374,17850.4,3
79160,78702,1648.1,0
79161,80206,3373.5,1
79162,94110,11517.2,2
79163,90035,5357.4,1
79164,02109,8401.7,2
79165,97211,1662.3,0
79166,80205,2471.7,0
79167,94124,2664.3,0
79168,70119,3128.9,1
79169,11237,19583.0,3
79170,11233,19194.0,3
79171,11209,12527.1,2
79172,90036,5761.9,1
79173,nan,10861.237371490948,2
79174,97229,1092.9,0
79175,78701,1621.8,0
79176,70117,1647.8,0
79177,11201,14028.1,3
79178,20001,6816.2,1
79179,94121,5163.3,1
79180,37211,1350.2,0
79181,37201,2699.4,0
79182,80204,2187.0,0
79183,11201,14028.1,3
79184,02130,4099.6,1
79185,11229,14307.7,3
79186,90046,3242.8,1
79187,91006,1938.1,0
79188,90017,12635.3,2
79189,11207,13494.3,2
79190,11102,16711.6,3
79191,90026,6203.7,1
79192,11206,21984.4,3
79193,02136,2395.9,0
79194,91601,5416.4,1
79195,90004,7876.3,2
79196,02125,6028.8,1
79197,11102,16711.6,3
79198,92116,3561.5,1
79199,nan,10861.237371490948,2
79200,80211,2710.7,0
79201,60616,4677.4,1
79202,78704,1871.5,0
79203,90272,388.7,0
79204,11215,11270.5,2
79205,98121,10981.3,2
79206,90291,4379.7,1
79207,90042,5186.6,1
79208,97214,3275.8,1
79209,60622,8213.0,2
79210,37207,708.9,0
79211,90012,3711.6,1
79212,90272,388.7,0
79213,70119,3128.9,1
79214,20009,14096.5,3
79215,78704,1871.5,0
79216,91748,1211.8,0
79217,94602,3309.2,1
79218,98144,3053.9,1
79219,10016,39315.3,3
79220,60611,13562.3,2
79221,80211,2710.7,0
79222,97215,2782.8,0
79223,10001,13259.3,2
79224,70115,3156.0,1
79225,90803,3066.6,1
79226,11205,16493.8,3
79227,90291,4379.7,1
79228,90029,10949.3,2
79229,91304,2062.1,0
79230,90015,4285.4,1
79231,90292,4091.9,1
79232,37206,1284.5,0
79233,02118,9331.3,2
79234,11105,8420.6,2
79235,20002,3852.6,1
79236,60646,2295.2,0
79237,28806,392.0,0
79238,60608,5068.9,1
79239,60642,4316.4,1
79240,90069,3740.7,1
79241,98119,3332.7,1
79242,37210,670.9,0
79243,70116,3439.9,1
79244,60612,3447.3,1
79245,94608,3963.9,1
79246,92109,2325.7,0
79247,02132,2190.0,0
79248,60614,8244.5,2
79249,97211,1662.3,0
79250,02129,4697.9,1
79251,97236,1842.4,0
79252,20007,3455.4,1
79253,37203,1093.9,0
79254,11692,7140.0,2
79255,10016,39315.3,3
79256,94114,8428.9,2
79257,80211,2710.7,0
79258,97214,3275.8,1
79259,11216,22433.5,3
79260,94114,8428.9,2
79261,20002,3852.6,1
79262,98105,4108.7,1
79263,92107,3525.3,1
79264,80218,4334.1,1
79265,90650,4154.1,1
79266,91405,5967.9,1
79267,37201,2699.4,0
79268,94618,2553.7,0
79269,90210,829.1,0
79270,98115,2708.9,0
79271,20002,3852.6,1
79272,11237,19583.0,3
79273,20012,2287.8,0
79274,11206,21984.4,3
79275,98125,2653.4,0
79276,10014,22447.1,3
79277,10002,35781.9,3
79278,37216,1018.2,0
79279,11237,19583.0,3
79280,80205,2471.7,0
79281,94110,11517.2,2
79282,78722,1505.5,0
79283,20032,2621.5,0
79284,70116,3439.9,1
79285,37206,1284.5,0
79286,28805,262.0,0
79287,70130,2577.6,0
79288,10473,10563.9,2
79289,78741,2285.4,0
79290,10027,26528.8,3
79291,90265,64.9,0
79292,10019,23754.2,3
79293,10026,39504.2,3
79294,10001,13259.3,2
79295,78741,2285.4,0
79296,10036,21721.3,3
79297,78747,240.6,0
79298,98122,5250.8,1
79299,10013,19437.4,3
79300,02114,10322.8,2
79301,10001,13259.3,2
79302,70112,1618.2,0
79303,70112,1618.2,0
79304,02132,2190.0,0
79305,97266,2128.4,0
79306,10029,36151.2,3
79307,97217,939.3,0
79308,91007,2368.1,0
79309,20002,3852.6,1
79310,10016,39315.3,3
79311,10282,26893.9,3
79312,11222,9292.3,2
79313,91007,2368.1,0
79314,11207,13494.3,2
